tag_id,division,sub_division,track,major,minor,next_tag_up,next_tag_down,Chainage
529,BD,BD_EB_B2,1,599,80,528,530,599.8
530,BD,BD_EB_B2,1,595,73,529,531,595.73
531,BD,BD_EB_B2,1,593,98,530,532,593.98
532,BD,BD_EB_B2,1,588,93,531,814,588.93
814,BD,BD_EB_B2,1,586,1,532,533,586.01
533,BD,BD_EB_B2,1,583,96,814,534,583.96
534,BD,BD_EB_B2,1,580,20,533,535,580.2
535,BD,BD_EB_B2,1,574,73,534,536,574.73
536,BD,BD_EB_B2,1,571,49,535,537,571.49
537,BD,BD_EB_B2,1,568,22,536,875,568.22
875,BD,BD_EB_B2,1,565,34,537,538,565.34
538,BD,BD_EB_B2,1,562,48,875,539,562.48
539,BD,BD_EB_B2,1,557,78,538,838,557.78
838,BD,BD_EB_B2,1,554,59,539,540,554.59
540,BD,BD_EB_B2,1,551,42,838,541,551.42
541,BD,BD_EB_B2,1,545,70,540,837,545.7
837,BD,BD_EB_B2,1,542,77,541,542,542.77
542,BD,BD_EB_B2,1,539,85,837,543,539.85
543,BD,BD_EB_B2,1,535,83,542,544,535.83
544,BD,BD_EB_B2,1,531,87,543,545,531.87
545,BD,BD_EB_B2,1,528,7,544,546,528.07
546,BD,BD_EB_B2,1,524,33,545,836,524.33
836,BD,BD_EB_B2,1,521,18,546,547,521.18
547,BD,BD_EB_B2,1,518,3,836,548,518.03
548,BD,BD_EB_B2,1,512,93,547,549,512.93
549,BD,BD_EB_B2,1,509,20,548,550,509.2
550,BD,BD_EB_B2,1,505,53,549,551,505.53
551,BD,BD_EB_B2,1,498,55,550,834,498.55
834,BD,BD_EB_B2,1,496,20,551,552,496.2
552,BD,BD_EB_B2,1,493,18,834,553,493.18
553,BD,BD_EB_B2,1,489,80,552,554,489.8
554,BD,BD_EB_B2,1,483,98,553,555,483.98
555,BD,BD_EB_B2,1,480,28,554,556,480.28
556,BD,BD_EB_B2,1,476,65,555,557,476.65
557,BD,BD_EB_B2,1,475,63,556,558,475.63
558,BD,BD_EB_B2,1,473,84,557,559,473.84
559,BD,BD_EB_B2,1,471,8,558,560,471.08
560,BD,BD_EB_B2,1,469,30,559,561,469.3
561,BD,BD_EB_B2,1,467,11,560,562,467.11
562,BD,BD_EB_B2,1,464,8,561,563,464.08
563,BD,BD_EB_B2,1,459,50,562,816,459.5
816,BD,BD_EB_B2,1,456,51,563,564,456.51
564,BD,BD_EB_B2,1,454,84,816,565,454.84
565,BD,BD_EB_B2,1,452,50,564,566,452.5
566,BD,BD_EB_B2,1,446,18,565,833,446.18
833,BD,BD_EB_B2,1,443,70,566,567,443.7
567,BD,BD_EB_B2,1,441,23,833,568,441.23
568,BD,BD_EB_B2,1,437,68,567,569,437.68
569,BD,BD_EB_B2,1,434,19,568,570,434.19
570,BD,BD_EB_B2,1,428,18,569,832,428.18
832,BD,BD_EB_B2,1,425,68,570,571,425.68
571,BD,BD_EB_B2,1,423,18,832,572,423.18
572,BD,BD_EB_B2,1,419,22,571,573,419.22
573,BD,BD_EB_B2,1,415,32,572,574,415.32
574,BD,BD_EB_B2,1,411,64,573,575,411.64
575,BD,BD_EB_B2,1,408,3,574,1805,408.03
1805,BD,BD_EB_B2,1,405,87,575,576,405.87
576,BD,BD_EB_B2,1,402,59,1805,577,402.59
577,BD,BD_EB_B2,1,400,73,576,578,400.73
578,BD,BD_EB_B2,1,395,65,577,818,395.65
818,BD,BD_EB_B2,1,393,6,578,579,393.06
579,BD,BD_EB_B2,1,390,85,818,580,390.85
580,BD,BD_EB_B2,1,387,39,579,581,387.39
581,BD,BD_EB_B2,1,383,33,580,582,383.33
582,BD,BD_EB_B2,1,377,65,581,583,377.65
583,BD,BD_EB_B2,1,372,85,582,584,372.85
584,BD,BD_EB_B2,1,369,27,583,585,369.27
585,BD,BD_EB_B3,1,365,76,584,586,365.76
586,BD,BD_EB_B3,1,360,18,585,828,360.18
828,BD,BD_EB_B3,1,357,46,586,587,357.46
587,BD,BD_EB_B3,1,354,75,828,588,354.75
588,BD,BD_EB_B3,1,349,15,587,589,349.15
589,BD,BD_EB_B3,1,345,71,588,590,345.71
590,BD,BD_EB_B3,1,342,33,589,591,342.33
591,BD,BD_EB_B3,1,338,85,590,592,338.85
592,BD,BD_EB_B3,1,335,43,591,593,335.43
593,BD,BD_EB_B3,1,331,97,592,594,331.97
594,BD,BD_EB_B3,1,328,58,593,595,328.58
595,BD,BD_EB_B3,1,325,12,594,596,325.12
596,BD,BD_EB_B3,1,321,73,595,597,321.73
597,BD,BD_EB_B3,1,317,51,596,1810,317.51
1810,BD,BD_EB_B3,1,315,98,597,598,315.98
598,BD,BD_EB_B3,1,313,35,1810,1809,313.35
1809,BD,BD_EB_B3,1,310,96,598,599,310.96
599,BD,BD_EB_B3,1,308,33,1809,600,308.33
600,BD,BD_EB_B3,1,305,34,599,601,305.34
601,BD,BD_EB_B3,1,304,53,600,602,304.53
602,BD,BD_EB_B3,1,304,37,601,603,304.37
603,BD,BD_EB_B3,1,303,38,602,604,303.38
604,BD,BD_EB_B3,1,302,80,603,605,302.8
605,BD,BD_EB_B3,1,301,17,604,606,301.17
606,BD,BD_EB_B3,1,297,74,605,607,297.74
607,BD,BD_EB_B3,1,294,28,606,826,294.28
826,BD,BD_EB_B3,1,291,13,607,608,291.13
608,BD,BD_EB_B3,1,287,98,826,609,287.98
609,BD,BD_EB_B3,1,283,58,608,873,283.58
873,BD,BD_EB_B3,1,281,1,609,610,281.01
610,BD,BD_EB_B3,1,278,46,873,611,278.46
611,BD,BD_EB_B3,1,273,3,610,612,273.03
612,BD,BD_EB_B3,1,269,43,611,613,269.43
613,BD,BD_EB_B3,1,264,55,612,614,264.55
614,BD,BD_EB_B3,1,259,99,613,615,259.99
615,BD,BD_EB_B3,1,255,90,614,616,255.9
616,BD,BD_EB_B3,1,252,51,615,617,252.51
617,BD,BD_EB_B3,1,249,18,616,618,249.18
618,BD,BD_EB_B3,1,243,58,617,619,243.58
619,BD,BD_EB_B3,1,239,58,618,620,239.58
620,BD,BD_EB_B3,1,237,79,619,621,237.79
621,BD,BD_EB_B3,1,236,11,620,622,236.11
622,BD,BD_EB_B3,1,235,75,621,623,235.75
623,BD,BD_EB_B3,1,233,83,622,624,233.83
624,BD,BD_EB_B3,1,231,51,623,625,231.51
625,BD,BD_EB_B3,1,228,36,624,626,228.36
626,BD,BD_EB_B3,1,222,38,625,825,222.38
825,BD,BD_EB_B3,1,220,45,626,627,220.45
627,BD,BD_EB_B3,1,216,78,825,628,216.78
628,BD,BD_EB_B3,1,212,18,627,629,212.18
629,BD,BD_EB_B3,1,208,35,628,630,208.35
630,BD,BD_EB_B3,1,204,58,629,872,204.58
872,BD,BD_EB_B3,1,201,63,630,631,201.63
631,BD,BD_EB_B3,1,198,69,872,632,198.69
632,BD,BD_EB_B3,1,194,8,631,633,194.08
633,BD,BD_EB_B3,1,189,63,632,634,189.63
634,BD,BD_EB_B3,1,183,88,633,635,183.88
635,BD,BD_EB_B3,1,180,8,634,636,180.08
636,BD,BD_EB_B3,1,176,65,635,637,176.65
637,BD,BD_EB_B3,1,173,28,636,638,173.28
638,BD,BD_EB_B3,1,167,68,637,639,167.68
639,BD,BD_EB_B3,1,164,4,638,640,164.04
640,BD,BD_EB_B3,1,160,47,639,641,160.47
641,BD,BD_EB_B3,1,155,84,640,642,155.84
642,BD,BD_EB_B3,1,151,28,641,643,151.28
643,BD,BD_EB_B3,1,146,48,642,824,146.48
824,BD,BD_EB_B3,1,143,37,643,644,143.37
644,BD,BD_EB_B3,1,140,27,824,1803,140.27
1803,BD,BD_EB_B3,1,138,22,644,645,138.22
645,BD,BD_EB_B3,1,135,49,1803,820,135.49
820,BD,BD_EB_B3,1,133,81,645,646,133.81
